(4fd6b3c9,8d43235b) (6b396239,8d43235b)
(86ffa77,1270f10f) (befc607,1270f10f)
(62097941,69923ba9) (6681e411,69923ba9)
(ab093,ca087) (556ab,ca087)
(11e12aa7,58ca83b7) (27714d57,58ca83b7)
(4d1d15af,83ff80bd) (33f05f1f,83ff80bd)
(1c172edb,667f01d1) (b76ca3,667f01d1)
(e4e327f,14feba97) (9f9434f,14feba97)
(a002f91,a032e7b) (7512679,a032e7b)
(a923a7,b19481) (af907,b19481)
(10ef13c1,1c5c045d) (fe12e25,1c5c045d)
(d81541,15cebd5) (15662c1,15cebd5)
(8578d77,18a51bb9) (9bd8467,18a51bb9)
(1963415,27b5b2f3) (11edfaad,27b5b2f3)
(31c5d129,3982d6dd) (1661f6a1,3982d6dd)
(1ef9f9d,25223b7) (d8bdb5,25223b7)
(2a39a6cf,45844d0f) (19153117,45844d0f)
(15022965,6ff4f18f) (3ddb5ccd,6ff4f18f)
(508cdfc3,601cf811) (2aed91df,601cf811)
(7abab72f,cae89b45) (38db5677,cae89b45)
(3982bff7,7197b3bf) (3b76c997,7197b3bf)
(4a71f97,1c07190d) (ffa6db7,1c07190d)
(23cd4903,506a89ad) (3f5fd52b,506a89ad)
(1c6232d,217de6f) (14a330d,217de6f)
(581f193f,5b8c419b) (171907bf,5b8c419b)
(29e7c101,36f95465) (13346731,36f95465)
(1311abb3,2dc9dda1) (174e096f,2dc9dda1)
(63812ad,8effdf9) (59dcf49,8effdf9)
(257f4b,5da0ff) (c38ab,5da0ff)
(714b4af,701358ef) (238a7fdf,701358ef)
(225ed5,4a4235) (44efd,4a4235)
(24fce8c5,653121c1) (342cf19d,653121c1)
(3715e47,1857fe59) (17fc6e1f,1857fe59)
(2d98d199,65b5c775) (30087c31,65b5c775)
(10d94d9,5c6aac7) (5029369,5c6aac7)
(42add5bd,772fde7b) (306202d,772fde7b)
(218ffa2f,58c5b2e7) (465cf377,58c5b2e7)
(4a0d6fb5,57ca4045) (d6d4f49,57ca4045)
(f997f1,17b8b5a9) (11516bf1,17b8b5a9)
(b5cfe1,377f6d7) (26c0cb9,377f6d7)
(6026d29,1ffb465b) (4bd29e9,1ffb465b)
(667c091,5b3a9867) (462118a9,5b3a9867)
(69a688b,13d1c425) (f001a47,13d1c425)
(1a3d53,173c0d5) (ad0def,173c0d5)
(6cf1ae9,6fd3187) (354a759,6fd3187)
(cfcdc7b,8898c079) (6c00ceb3,8898c079)
(155be4fd,1a42a997) (15bff0f5,1a42a997)
(2a9b46d3,54372ead) (1a492adb,54372ead)
(f87101,14f40b15) (11e1b811,14f40b15)
(9ec2a67,c0721c9) (2c9e957,c0721c9)
(701f63,1f4911c9) (120296cb,1f4911c9)
(29336743,3a2d431d) (2e89c92b,3a2d431d)
(3a1d059,627c68f) (33f19c1,627c68f)
(30cd16bd,6cce5327) (4da7da15,6cce5327)
(1e7a7df,3a7a949) (2db06bf,3a7a949)
(6c307c9,9093d85) (4b4339,9093d85)
(240bb099,9643a88d) (1d6830e1,9643a88d)
(c960fbb,f1515bf) (7bdfcab,f1515bf)
(1767657,12a1aceb) (76ae3c7,12a1aceb)
(2c98bd1,39db17d5) (6157dbd,39db17d5)
(3c4db8d,1e49bdd9) (58c8655,1e49bdd9)
(3be1f69,3cdc261) (25f0fd9,3cdc261)
(c00ef47,1ef8d47f) (d79e807,1ef8d47f)
(11148c77,28fc4dcb) (102d352f,28fc4dcb)
(29b02bbf,4f0e13a9) (124f88ef,4f0e13a9)
(d87a40d,15b18fc5) (b9c5105,15b18fc5)
(becabfb,1c7cba77) (6e1b9f3,1c7cba77)
(52a45ff,ddd4c45) (31682ff,ddd4c45)
(5229616b,bcded30d) (cad7a4f,bcded30d)
(1864751,18c9fb5) (d9852d,18c9fb5)
(7153e601,dfd97767) (7ad79ec1,dfd97767)
(29a940f,a46502d7) (95d8086f,a46502d7)
(38f1895,20fead5f) (c409b85,20fead5f)
(45030d7b,5fa76d35) (39f14b3,5fa76d35)
(25a43043,3b9cda9f) (3506cd13,3b9cda9f)
(70760dbf,8db1e36b) (d67903f,8db1e36b)
(47cf1091,5a26ed7b) (2cef0d71,5a26ed7b)
(656aa8b,dca284d) (4ae2da3,dca284d)
(376434d,d094c17) (3a7b7f5,d094c17)
(7f935441,ab154219) (404ac91,ab154219)
(5a04bc2d,7b10f3db) (4823bbe5,7b10f3db)
(5223807b,a616e6af) (4bce526b,a616e6af)
(58fcab7,64ba8edd) (14b98167,64ba8edd)
(114f3ab,647b411) (5e9eb37,647b411)
(dc4ebf7,e56813f) (dd8d597,e56813f)
(e721ead,20cdcf7d) (c65af85,20cdcf7d)
(23ee1625,88b5faf7) (5a17fc2d,88b5faf7)
(71a45bbf,8b382587) (2a063df,8b382587)
(21c4e41,2d89f261) (10926fd1,2d89f261)
(27bb5fd,313357f) (13912d5,313357f)
(a3b255d,1c16ec67) (b804e75,1c16ec67)
(2363078b,42912047) (28a36803,42912047)
(1a0898d3,2adc25a5) (27806edb,2adc25a5)
(100b8bd9,1fdd9181) (1f5c4a45,1fdd9181)
(9f0a435,30cdedd9) (183912a9,30cdedd9)
(c3de281,112ae355) (45cb051,112ae355)
(32f6aff1,4204c103) (13c0e511,4204c103)
(f5bf57d,8ed0b715) (36c4745,8ed0b715)
(1277031,92521bd) (4ef0bf1,92521bd)
(3173387,d519555) (3c1417,d519555)
(b5fe79,156e7f5) (dc3729,156e7f5)
(3011ddc3,744c143b) (51fc3633,744c143b)
(24e373af,2d13c68d) (faa818f,2d13c68d)
(1ec0a25,11c9544b) (f70090d,11c9544b)
(1fd14ba3,aa0675a5) (a6f46407,aa0675a5)
(2bfe78ad,410c8501) (1ffad899,410c8501)
(5a879d9,2f0745ad) (2e10cbc9,2f0745ad)
(7c2a0c3,11aa3961) (85b380b,11aa3961)
(198fba35,19ef8da9) (a96cc6d,19ef8da9)
(e2edab,37d1b99) (2e1e4b3,37d1b99)
(12c6c18f,1bfefccb) (2a8d87f,1bfefccb)
(e581ad7,14efab85) (12321997,14efab85)
(2bc9b0d,43d7499) (3288385,43d7499)
(42938f9,64f395fb) (4b433559,64f395fb)
(84cbde5,308af7b7) (19c548ed,308af7b7)
(2ea63b9,856fec1) (64e084d,856fec1)
(e345fcf,1ac536cd) (12ed5057,1ac536cd)
(6ffe9bf,11ea136b) (10f8c85f,11ea136b)
(2418683,1df69a07) (c6a8173,1df69a07)
(1dde73f7,4a9c8901) (ef473db,4a9c8901)
(82a5d83,18b2f22f) (5f44db3,18b2f22f)
(133defeb,686ac14f) (3362df53,686ac14f)
(56f0c7e5,a207aec3) (60e7162d,a207aec3)
(353df55,47ce025) (2e411b1,47ce025)
(4aac425b,8fd1dd47) (8368f6f3,8fd1dd47)
(20d99f2b,3f146a8f) (2ceb5683,3f146a8f)
(8e89cbf,d53817f) (8ff82d7,d53817f)
(12680d,2df313) (83525,2df313)
(10772fb,132ac63) (110aa53,132ac63)
(25fa6aa9,3ac2ddd1) (2b641799,3ac2ddd1)
(68eb6df,775ca51) (d9d1af,775ca51)
(14f26b1,60374dd) (5002c51,60374dd)
(16847465,abb8d2db) (8fa9a5ad,abb8d2db)
(4b5f4d,7cee9b) (733efd,7cee9b)
(29065ab,1664aef5) (13f6b943,1664aef5)
(18676bef,2152e88d) (206481bf,2152e88d)
(1f38b02d,5e702759) (4b447ea5,5e702759)
(3582bfbf,818714d5) (502903f,818714d5)
(7e3bac1,183ed5e9) (6e669dd,183ed5e9)
(1f656385,6f6fdbd7) (d22268d,6f6fdbd7)
(74d8c495,b46b4e11) (62748ebd,b46b4e11)
(88ca5b5,28320b3f) (1c4616f5,28320b3f)
(5fb625cb,7797bcb7) (193d8573,7797bcb7)
(14faad5f,3959b59b) (353c503f,3959b59b)
(365d791,954f635) (8feabf1,954f635)
(1f2a4db,34ec8c4b) (33a291a3,34ec8c4b)
(b0d846b,b853c37) (2e13fc3,b853c37)
(23a57bad,2f71702f) (105e616d,2f71702f)
(132f41e9,1bea6091) (15da6431,1bea6091)
(be529b9,1bcaeedb) (10f3d8c9,1bcaeedb)
(4445b909,7cf08545) (149441b9,7cf08545)
(65f272d,cf28b71) (5f57465,cf28b71)
(43ed9ba7,67d5a04b) (a4958a7,67d5a04b)
(3349cb63,d02be3f3) (3fec3503,d02be3f3)
(14f06b07,2dd47017) (e62e1f7,2dd47017)
(1a4d85,252f091) (bba38d,252f091)
(1c06c59,6726340f) (61b1f2e9,6726340f)
(1e17ba05,318e887f) (2c861b45,318e887f)
(42806beb,b0d02ad7) (2bb8b373,b0d02ad7)
(38217d79,4fa9cd0b) (1e1502c9,4fa9cd0b)
(222f760f,25706e9d) (1223cd2b,25706e9d)
(1eeb477,a043629) (4a893d3,a043629)
(160489a9,51694b0d) (e33af99,51694b0d)
(127aa139,186ef7b5) (c4a8009,186ef7b5)
(10d26a15,11855dcd) (5384de5,11855dcd)
(dbf50ab,41dbbf1f) (e342ed3,41dbbf1f)
(4d7de4f,5fb0993) (2ec3fff,5fb0993)
(19cd0b,f61b71) (3f42a3,f61b71)
(61c6924f,736e8d9b) (58a664af,736e8d9b)
(415bf89,e5714d5) (888d139,e5714d5)
(2aa68dab,5af75c61) (2050cd23,5af75c61)
(5e784be1,65d4aa41) (1d87821,65d4aa41)
(8c088fb,980bd57b) (961d6f7b,980bd57b)
(87653fb,c79e581) (379a743,c79e581)
(527f562d,e1cd63cd) (69bd8305,e1cd63cd)
(2a8f774d,361fefeb) (2eff912d,361fefeb)
(12e3d35,1339175f) (151a8fd,1339175f)
(1d78309,4314fd3) (2b8f0b9,4314fd3)
(93ee7c5,2eaf5b07) (1cc5fa4d,2eaf5b07)
(20e904a7,4a6b1bfd) (33e9e297,4a6b1bfd)
(26d538f,299533d) (55225f,299533d)
(3371b6d,4ed6349) (1a44e5,4ed6349)
(37edf01,b7ced1f) (a019101,b7ced1f)
(89e5145,c01e7f3) (d4da65,c01e7f3)
(25494557,3a1e76a5) (9997b23,3a1e76a5)
(3242b463,3437eb55) (311ed6ab,3437eb55)
(1da8ec59,2d59d601) (106500f1,2d59d601)
(2e7c3d5,4a62d29) (1eb0d11,4a62d29)
(14776ce7,58cc7d95) (aa04877,58cc7d95)
(257aaab9,ce29a851) (6ec10ce5,ce29a851)
(1444eaf,2ed43155) (1ccaae23,2ed43155)
(b70e993,1b7197f1) (1157fd87,1b7197f1)
(d4eb4b5,17f15789) (17d4399d,17f15789)
(9e40d6d,6e8e4b65) (372dfc25,6e8e4b65)
(86ccf5f,1881c887) (4ced21f,1881c887)
(320eedcb,3bc8f93f) (c3100a3,3bc8f93f)
(3a2f9e81,47006e67) (250a77d9,47006e67)
(c418f,10f4e3) (10b847,10f4e3)
(8e0ce8b,26455d89) (d3718d3,26455d89)
(41bbcf1,4a42cb1) (20262c1,4a42cb1)
(168491cf,316ac45f) (6af0e2f,316ac45f)
(1197ab41,1f5bd9d1) (12fda111,1f5bd9d1)
(24686cf,18cb2631) (1e1d99f,18cb2631)
(72547de9,97a50835) (1c5229,97a50835)
(b4f1ca5,279f3733) (d76594d,279f3733)
(2ce0dc27,595f5167) (4c20d997,595f5167)
(54906a9,6803095) (17664fd,6803095)
(cf1d69,38bf77b) (b7bd59,38bf77b)
(33c957ef,52bfa055) (267f3ac7,52bfa055)
(f89d8d5,7f55abf9) (2ac94bad,7f55abf9)
(6b2ebacb,9b6dca7f) (d7d924b,9b6dca7f)
(4372b,2625fd) (e56df,2625fd)
(3e82a71d,42a1ffb1) (ce979b5,42a1ffb1)
(2c8aa5cf,5cae5df3) (37db59bf,5cae5df3)
(2ece5e5b,71386dcb) (19b1b1d3,71386dcb)
(ab1bafd,c6b8375) (7803581,c6b8375)
(ad3e62d,d7cf953) (95ab565,d7cf953)
(98036ad,8b6bd931) (160ccc51,8b6bd931)
(2211234b,38d1a9db) (1f80b993,38d1a9db)
(9759ac7,1602c935) (ff67d7b,1602c935)
(477a7117,a4e4355b) (9ecb9cf7,a4e4355b)
(3cd35265,5fce8c65) (1db318ed,5fce8c65)
(190d55bf,5d6a7bcf) (10502eaf,5d6a7bcf)
(a3bc251,70d5b125) (5f6c7a3d,70d5b125)
(120f37f,178fa7d) (4012ff,178fa7d)
(1e1bea37,300517c9) (f6d2727,300517c9)
(7d4b6c3,964df15) (188144f,964df15)
(a1f283,3bb30069) (22068e6b,3bb30069)
(1597c35,1506b96b) (58a74f5,1506b96b)
(fbf41df,6efd8543) (120ff89f,6efd8543)
(531643,176bc79f) (71e8f2b,176bc79f)
(3e3c8d3,9c13b5f) (25e7a7b,9c13b5f)
(2aed27b,5171aaf3) (582b44b,5171aaf3)
(10455d9f,5fffe4ab) (1a0c9e3f,5fffe4ab)
(245611db,2a0c20d7) (1bacaf93,2a0c20d7)
(8c7fd7,5afe2a21) (441828a7,5afe2a21)
(683f68f,261cbd47) (2515dc5f,261cbd47)
(20a39985,2922a499) (11931871,2922a499)
(1155bea1,19e665e3) (111dd7a1,19e665e3)
(220973,1e541e5) (1dbc3bb,1e541e5)
(16fa6f3b,46424581) (20929213,46424581)
(335e33e7,656e7515) (30e09917,656e7515)
(6f7d0fb,21b5bf4f) (124cd5d3,21b5bf4f)
(d086cd1,1c527325) (208ce4d,1c527325)
(5569781,20325a69) (e81311d,20325a69)
(16831ec1,193db9d5) (126f93c1,193db9d5)
(72d04cf,e325751) (1f7c033,e325751)
(218c1b9,4a60fed) (f7bc29,4a60fed)
(3e747227,5861ae63) (45e33a97,5861ae63)
(2cdf9de1,7660aa23) (23bc88b9,7660aa23)
(d0ff081,e701a9f) (d162b91,e701a9f)
(18cf978b,2464bfeb) (212f1a73,2464bfeb)
(fec1a43,12df7e69) (e5cbe3f,12df7e69)
(8a60c9d,a5a5b17) (19f49f5,a5a5b17)
(1bb1a7,3f5251) (24d667,3f5251)
(19bd81,666e6e1) (181bd81,666e6e1)
(16b6d801,57739ab7) (10304f41,57739ab7)
(5d7b7,48e8f13) (45d060f,48e8f13)
(100e8699,41f99ff9) (1ae12b59,41f99ff9)
(3bfef,df21d) (6e2f,df21d)
(39b48b3f,685949ad) (5891227f,685949ad)
(4174cab,16f4f37b) (146ded43,16f4f37b)
(8ef3df,b7909eb) (2a325f,b7909eb)
(278b72fd,451fdc15) (19704455,451fdc15)
(18f3c5,39135d) (b93c9,39135d)
(411c5bd5,46e91985) (20302879,46e91985)
(e5461bf,45c9ba53) (407be5ff,45c9ba53)
(eef3475,31d54141) (25d4aabd,31d54141)
(6988345,69ceea3) (52b3835,69ceea3)
(a36067b,2d937825) (1125faf3,2d937825)
(76b9389,c3a4413) (9015569,c3a4413)
(fac1885,32a10de1) (107ab5cd,32a10de1)
(982a1f1,11900aaf) (2e1ce99,11900aaf)
(93ca8dd,65cbcba9) (544f80f5,65cbcba9)
(54cfdcd9,a8ffe6bd) (426444d1,a8ffe6bd)
(14ec62d,7ca7f97) (6718975,7ca7f97)
(4f24f85,5004a57) (18d18ad,5004a57)
(7b7bbdbd,f82235e3) (5bf489d5,f82235e3)
(5bc7df,47d2b45) (44d0c1f,47d2b45)
(97b0fab,3a285873) (2a11819b,3a285873)
(4789ffa5,f665854f) (5235e64d,f665854f)
(1efc3999,4f4d64b7) (1815f1e9,4f4d64b7)
(2f0b7d23,47d7682b) (25d7f36b,47d7682b)
(14eba355,1faee6fd) (12d80a9d,1faee6fd)
(433f1e9,15d04021) (12d0d959,15d04021)
(c960c1,2afb693) (24d4431,2afb693)
(62ee3df,36b903dd) (6f10c9f,36b903dd)
(352ceb11,61e91c85) (41967925,61e91c85)
(11ae93b9,6a48f351) (5dc6ff79,6a48f351)
(33468199,9f0578cf) (17bff051,9f0578cf)
(44f46461,95abbac9) (2afebba1,95abbac9)
(51229363,592159bb) (1cbd607b,592159bb)
(21af4849,4efd6a6f) (3e344af9,4efd6a6f)
(118199a1,26d7d3bd) (7978c81,26d7d3bd)
(8d81ffd,a55dd7f) (8e54f15,a55dd7f)
(12eb6f3,22c2317) (10d5fdb,22c2317)
(a20a4a7,144b1175) (5eb5c4b,144b1175)
(1a013e9,39af637) (1275ad9,39af637)
(10c67729,28793ef9) (c3948e9,28793ef9)
(806f11,83efc9) (447f1,83efc9)
(fa0ba1,1acf6a5) (6420dd,1acf6a5)
(28413b9,28f64ab) (2846b49,28f64ab)
(40ce775,5468b91) (39db9d,5468b91)
(b664097,141e803f) (1686907,141e803f)
(19c9eb93,2333abb1) (16415ae3,2333abb1)
(7bdd945,2e7f5799) (2075a10d,2e7f5799)
(113ffe3,11b7831) (80faeb,11b7831)
(32b1f19b,b96f217b) (6451be33,b96f217b)
(49b3b3c9,610f3571) (20e74a79,610f3571)
(2d33943,7651c97) (60c9853,7651c97)
(7b538eb,212d9b33) (b9cc6db,212d9b33)
(4a2f5f01,4f5f78fd) (41829401,4f5f78fd)
(27ac0ef,741ae1e7) (49ae2887,741ae1e7)
(1f43939,5f46211) (16956d9,5f46211)
(d326139,47e98fd3) (3f79ee29,47e98fd3)
(2caa8b9,e186273) (b6f57f9,e186273)
(8b30081,3398653f) (2e5c481,3398653f)
(22737eb,f08c3bd) (e1a0a23,f08c3bd)
(33e83a1f,3a749943) (ba8df47,3a749943)
(3c4b7241,90e88eb9) (7545ffc1,90e88eb9)
(1ceed847,36100237) (1ae7f677,36100237)
(1f7ef42f,ac342bcd) (2a4c53d3,ac342bcd)
(641583b,1ec5d233) (10bdec0b,1ec5d233)
(2761d785,2ea642f3) (12d69a65,2ea642f3)
(13d7875,a40648c3) (2c645f2d,a40648c3)
(142d9a89,2c36ce0d) (231c9eed,2c36ce0d)
